Date,Open,High,Low,Close,Adj Close,Volume
2003-04-14,11.144444,11.222222,11.144444,11.222222,8.689696,93600
2003-04-15,11.291111,11.388889,11.291111,11.355556,8.792939,421200
2003-04-16,11.477777,11.533334,11.477777,11.486667,8.894463,9000
2003-04-17,11.550000,11.572222,11.530000,11.568889,8.958129,17100
2003-04-21,11.582222,11.583333,11.555555,11.564445,8.954688,72900
2003-04-22,11.563334,11.603333,11.527778,11.603333,8.984801,19800
2003-04-23,11.611111,11.657778,11.572222,11.657778,9.026958,31500
2003-04-24,11.566667,11.566667,11.400000,11.427778,8.848866,90000
2003-04-25,11.267777,11.267777,11.222222,11.238889,8.702600,102600
2003-04-28,11.267777,11.424444,11.266666,11.424444,8.846284,91800
2003-04-29,11.601111,11.755555,11.601111,11.750000,9.098370,76500
2003-04-30,11.722222,11.732223,11.686666,11.716666,9.072557,228600
2003-05-01,11.683333,11.730000,11.666667,11.671111,9.037286,234900
2003-05-02,11.708889,11.850000,11.708889,11.850000,9.175801,67500
2003-05-05,11.894444,11.980000,11.894444,11.977777,9.274744,47700
2003-05-06,11.977777,12.053333,11.966666,12.038889,9.322063,109800
2003-05-07,11.988889,12.018888,11.978889,12.016666,9.304857,313200
2003-05-08,11.944445,11.951111,11.900000,11.911111,9.223123,417600
2003-05-09,11.927778,12.060000,11.927778,12.051111,9.331528,63000
2003-05-12,12.105556,12.218889,12.100000,12.218889,9.461443,752400
2003-05-13,12.175555,12.175555,12.116667,12.150000,9.408099,276300
2003-05-14,12.150000,12.150000,12.065556,12.088889,9.360781,206100
2003-05-15,12.113334,12.113334,12.083333,12.113334,9.379711,337500
2003-05-16,12.144444,12.166667,12.088889,12.122222,9.386592,256500
2003-05-19,12.044444,12.044444,11.788889,11.833333,9.162895,128700
2003-05-20,11.861111,11.906667,11.827778,11.892222,9.208495,53100
2003-05-21,11.871111,11.905556,11.808888,11.902223,9.216239,45900
2003-05-22,11.905556,12.010000,11.905556,12.010000,9.299695,84600
2003-05-23,12.094444,12.162222,12.094444,12.133333,9.395194,74700
2003-05-27,12.162222,12.575556,12.162222,12.567778,9.731599,864000
2003-05-28,12.567778,12.640000,12.567778,12.622222,9.773756,396000
2003-05-29,12.611111,12.664444,12.588889,12.638889,9.786661,306900
2003-05-30,12.666667,12.785556,12.641111,12.785556,9.900229,368100
2003-06-02,12.822222,13.022223,12.822222,12.877778,9.971639,587700
2003-06-03,12.888889,12.888889,12.674444,12.780000,9.895927,244800
2003-06-04,12.777778,12.945556,12.777778,12.944445,10.023263,241200
2003-06-05,12.991111,12.991111,12.873333,12.957778,10.033589,509400
2003-06-06,13.027778,13.211111,13.026667,13.078889,10.127367,608400
2003-06-09,13.095555,13.095555,12.925555,12.966666,10.040471,208800
2003-06-10,12.971111,13.100000,12.971111,13.100000,10.143714,233100
2003-06-11,13.094444,13.121111,13.000000,13.111111,10.152318,294300
2003-06-12,13.133333,13.210000,13.123333,13.210000,10.228889,402300
2003-06-13,13.178889,13.216666,13.168889,13.205556,10.225449,694800
2003-06-16,13.244445,13.348889,13.227777,13.347777,10.335576,163800
2003-06-17,13.484445,13.633333,13.484445,13.622222,10.548085,352800
2003-06-18,13.585556,13.648889,13.542222,13.572222,10.509367,171900
2003-06-19,13.683333,13.705556,13.555555,13.572222,10.509367,225900
2003-06-20,13.611111,13.633333,13.533334,13.572222,10.509367,300600
2003-06-23,13.527778,13.527778,13.235556,13.238889,10.251258,332100
2003-06-24,13.183333,13.183333,13.066667,13.141111,10.175547,188100
2003-06-25,13.174444,13.331111,13.174444,13.250000,10.259865,1045800
2003-06-26,13.313334,13.400000,13.290000,13.393333,10.370850,210600
2003-06-27,13.411111,13.416667,13.297778,13.331111,10.322671,373500
2003-06-30,13.368889,13.368889,13.300000,13.322222,10.315786,279900
2003-07-01,13.372222,13.477777,13.333333,13.466666,10.427632,679500
2003-07-02,13.616667,13.793333,13.616667,13.783334,10.672838,1129500
2003-07-03,13.822222,13.828889,13.794444,13.822222,10.702950,110700
2003-07-07,13.966666,14.164444,13.966666,14.164444,10.967944,569700
2003-07-08,14.191112,14.230000,14.138889,14.204445,10.998918,347400
2003-07-09,14.194445,14.194445,14.111111,14.171111,10.973106,472500
2003-07-10,14.093333,14.093333,13.877778,13.922222,10.780382,1603800
2003-07-11,13.922222,14.038889,13.922222,14.038889,10.870722,212400
2003-07-14,14.194445,14.344444,14.194445,14.285556,11.061723,683100
2003-07-15,14.355556,14.355556,14.105556,14.105556,10.922343,2222100
2003-07-16,14.077778,14.155556,14.036667,14.116667,10.930949,828000
2003-07-17,14.027778,14.027778,13.747778,13.747778,10.645308,367200
2003-07-18,13.772223,13.931111,13.772223,13.931111,10.787266,205200
2003-07-21,13.876667,13.876667,13.728889,13.746667,10.644445,2148300
2003-07-22,13.782222,13.928889,13.766666,13.911111,10.771779,1022400
2003-07-23,13.866667,13.866667,13.740000,13.822222,10.702950,904500
2003-07-24,13.916667,14.010000,13.888889,13.888889,10.754574,749700
2003-07-25,13.991111,14.116667,13.972222,14.116667,10.930949,212400
2003-07-28,14.200000,14.238889,14.155556,14.194445,10.991174,1040400
2003-07-29,14.216666,14.223333,14.100000,14.114445,10.929226,805500
2003-07-30,14.081111,14.083333,13.983334,14.011111,10.849214,56700
2003-07-31,14.033334,14.121111,14.033334,14.077778,10.900837,339300
2003-08-01,14.105556,14.133333,14.090000,14.108889,10.924925,441000
2003-08-04,14.127778,14.135555,14.000000,14.046667,10.876744,394200
2003-08-05,14.046667,14.046667,13.895555,13.895555,10.759734,290700
2003-08-06,13.892222,13.907778,13.797778,13.833333,10.711557,371700
2003-08-07,13.933333,13.976666,13.900000,13.934444,10.789851,288900
2003-08-08,14.050000,14.055555,13.993333,14.027778,10.862119,153000
2003-08-11,14.111111,14.138889,14.055555,14.088889,10.909441,665100
2003-08-12,14.114445,14.156667,14.094444,14.144444,10.952457,727200
2003-08-13,14.318889,14.388889,14.253333,14.344444,11.107323,721800
2003-08-14,14.353333,14.543333,14.353333,14.533334,11.253586,404100
2003-08-15,14.388889,14.388889,14.388889,14.388889,11.141737,48600
2003-08-18,14.522223,14.697778,14.507778,14.695556,11.379198,1189800
2003-08-19,14.777778,14.777778,14.677778,14.767777,11.435121,453600
2003-08-20,14.733334,14.770000,14.680000,14.770000,11.436842,1125000
2003-08-21,14.890000,15.046667,14.872222,15.041111,11.646772,1083600
2003-08-22,15.222222,15.222222,15.072222,15.117778,11.706138,1008000
2003-08-25,15.096666,15.096666,14.984445,15.000000,11.614940,391500
2003-08-26,14.938889,14.938889,14.727777,14.816667,11.472979,1186200
2003-08-27,14.840000,14.988889,14.786667,14.988889,11.606337,632700
2003-08-28,15.041111,15.093333,14.952222,15.093333,11.687210,441900
2003-08-29,15.188889,15.233334,15.188889,15.202222,11.771525,417600
2003-09-02,15.333333,15.430000,15.311111,15.427778,11.946180,1471500
2003-09-03,15.638889,15.638889,15.538889,15.550000,12.040820,887400
2003-09-04,15.562222,15.627778,15.545555,15.605556,12.083838,458100
2003-09-05,15.633333,15.633333,15.561111,15.591111,12.072654,532800
2003-09-08,15.745556,15.905556,15.745556,15.886666,12.301510,659700
2003-09-09,15.920000,15.920000,15.586667,15.611111,12.088140,387900
2003-09-10,15.586667,15.586667,15.271111,15.351111,11.886814,569700
2003-09-11,15.356667,15.485556,15.333333,15.333333,11.873047,1097100
2003-09-12,15.383333,15.442223,15.277778,15.442223,11.957365,948600
2003-09-15,15.464444,15.464444,15.166667,15.214444,11.780989,809100
2003-09-16,15.366667,15.527778,15.332222,15.527778,12.023614,1987200
2003-09-17,15.554444,15.568889,15.451111,15.461111,11.971992,982800
2003-09-18,15.498889,15.666667,15.444445,15.638889,12.109650,762300
2003-09-19,15.661111,15.661111,15.532222,15.566667,12.053724,466200
2003-09-22,15.496667,15.496667,15.245556,15.312222,11.856705,4203900
2003-09-23,15.328889,15.361111,15.308888,15.350000,11.885955,453600
2003-09-24,15.546667,15.576667,15.366667,15.377778,11.907463,789300
2003-09-25,15.377778,15.377778,15.150000,15.150000,11.731086,530100
2003-09-26,15.150000,15.150000,15.044444,15.044444,11.649353,2994300
2003-09-29,15.068889,15.164444,15.055555,15.151111,11.731948,1071000
