,Close,High,Low,Open,Volume
,,,,,
2014-01-18,0.0285,0.029,0.028,0.028,0.02369577
2014-01-19,0.0283,0.0283,0.0283,0.0283,0.0003113
2014-01-20,0.0283,0.0283,0.0283,0.0283,0.0
2014-01-21,0.0283,0.0283,0.0283,0.0283,0.0
2014-01-22,0.0283,0.0283,0.0283,0.0283,0.0
2014-01-23,0.0283,0.0283,0.0283,0.0283,0.0
2014-01-24,0.029,0.029,0.0285,0.0285,0.00202459
2014-01-25,0.0285,0.0285,0.01,0.01,0.04815914
2014-01-26,0.0285,0.0285,0.011,0.011,0.00539298
2014-01-27,0.0181,0.029,0.0181,0.0285,0.04694794
2014-01-28,0.0197,0.027000000000000003,0.0197,0.027000000000000003,0.04158854
2014-01-29,0.022,0.029,0.022,0.029,0.02995705
2014-01-30,0.0289,0.03,0.023,0.03,0.05510475
2014-01-31,0.02,0.0286,0.02,0.0231,0.12281838
2014-02-01,0.0282,0.0285,0.022,0.0285,0.00988271
2014-02-02,0.0281,0.0281,0.023,0.0281,0.06542004
2014-02-03,0.02,0.0279,0.0191,0.0252,0.30231687
2014-02-04,0.0253,0.0269,0.0212,0.0225,8.28153452
2014-02-05,0.0267,0.0268,0.0212,0.0252,10.86636243
2014-02-06,0.0266,0.0276,0.025,0.0267,1.73397992
2014-02-07,0.0269,0.0276,0.0028,0.0276,8.31525369
2014-02-08,0.0263,0.0268,0.0203,0.0268,3.23422427
2014-02-09,0.0261,0.0263,0.0242,0.0263,2.39280182
2014-02-10,0.0261,0.0261,0.0248,0.0261,2.36775914
2014-02-11,0.0259,0.0262,0.0248,0.0256,2.29257237
2014-02-12,0.027000000000000003,0.0285,0.0248,0.0254,10.25431519
2014-02-13,0.0248,0.0269,0.0247,0.0256,4.84167821
2014-02-14,0.0248,0.0262,0.0229,0.0248,2.93552896
2014-02-15,0.0247,0.0257,0.0236,0.0248,2.07715117
2014-02-16,0.0256,0.026,0.0236,0.0256,5.85102992
2014-02-17,0.0254,0.0256,0.0211,0.0244,5.89196979
2014-02-18,0.0248,0.0254,0.0245,0.0245,4.73003175
2014-02-19,0.0253,0.0265,0.0241,0.0249,7.28562653
2014-02-20,0.025,0.0265,0.0247,0.0253,6.02477772
2014-02-21,0.0248,0.0263,0.022,0.0263,11.004041
2014-02-22,0.0241,0.0254,0.0236,0.0236,4.08289573
2014-02-23,0.0247,0.0257,0.0236,0.025,8.11586751
2014-02-24,0.026,0.03,0.0246,0.0247,13.67887993
2014-02-25,0.0254,0.034,0.0253,0.0253,5.61334756
2014-02-26,0.0249,0.0266,0.0246,0.0257,5.795656299999999
2014-02-27,0.0242,0.0256,0.0241,0.0256,4.96069246
2014-02-28,0.0247,0.0251,0.0235,0.0242,6.6816784
2014-03-01,0.0246,0.0246,0.0236,0.0246,2.69251494
2014-03-02,0.0231,0.0248,0.0231,0.024,3.4627591
2014-03-03,0.0219,0.0241,0.0205,0.0231,5.8800869
2014-03-04,0.021,0.0256,0.0208,0.0212,10.86727869
2014-03-05,0.0254,0.0256,0.0211,0.024,3.54416791
2014-03-06,0.0256,0.0267,0.0239,0.024,2.70815612
2014-03-07,0.0251,0.026,0.0237,0.0248,5.51930266
2014-03-08,0.0251,0.0258,0.0231,0.0258,3.98160643
2014-03-09,0.026,0.026,0.0246,0.0248,2.9537434
2014-03-10,0.0258,0.0258,0.0248,0.0248,1.89310583
2014-03-11,0.0257,0.026,0.0251,0.0258,3.39857333
2014-03-12,0.0273,0.028,0.0253,0.0257,4.05399853
2014-03-13,0.0265,0.028,0.026,0.0277,2.71566906
2014-03-14,0.0275,0.028,0.026,0.0265,5.08746413
2014-03-15,0.027000000000000003,0.0278,0.0261,0.0275,4.15779591
2014-03-16,0.0277,0.0287,0.0262,0.027000000000000003,4.94424458
2014-03-17,0.0286,0.0288,0.0267,0.0278,10.20190701
2014-03-18,0.0312,0.034,0.0263,0.0268,8.26663658
2014-03-19,0.0278,0.04,0.0278,0.0327,13.01479042
2014-03-20,0.0295,0.0318,0.0268,0.0279,3.44478772
2014-03-21,0.0275,0.0299,0.0269,0.0295,4.90781975
2014-03-22,0.0279,0.0282,0.026,0.0275,12.48159842
2014-03-23,0.0266,0.028,0.0264,0.028,4.03914663
2014-03-24,0.0274,0.0282,0.022,0.027000000000000003,6.18142268
2014-03-25,0.028,0.0282,0.0271,0.0274,7.91029312
2014-03-26,0.028,0.0319,0.0273,0.0279,17.74477063
2014-03-27,0.0274,0.0283,0.0262,0.0279,4.4448374
2014-03-28,0.0274,0.0279,0.0265,0.0265,3.3970266
2014-03-29,0.027000000000000003,0.0298,0.027000000000000003,0.0276,3.68790722
2014-03-30,0.0281,0.0286,0.0266,0.0275,7.83466594
2014-03-31,0.0284,0.0284,0.0265,0.0277,5.63075561
2014-04-01,0.0274,0.0284,0.027000000000000003,0.028,3.61063905
2014-04-02,0.025,0.0274,0.025,0.0271,5.98408894
2014-04-03,0.0252,0.0271,0.0242,0.026,2.61083296
2014-04-04,0.0243,0.0263,0.0242,0.0251,3.8631602
2014-04-05,0.0238,0.0258,0.023,0.0244,2.93347716
2014-04-06,0.0254,0.0272,0.0239,0.0246,4.72009161
2014-04-07,0.0254,0.0259,0.0242,0.0245,3.62436357
2014-04-08,0.0247,0.0258,0.0246,0.0254,1.87434285
2014-04-09,0.0254,0.0256,0.0245,0.0253,3.04000243
2014-04-10,0.0237,0.0258,0.023,0.0254,6.39442778
2014-04-11,0.025,0.0275,0.0229,0.0233,9.75238498
2014-04-12,0.0254,0.0265,0.025,0.0259,3.63919983
2014-04-13,0.026,0.0262,0.0246,0.0256,4.97487692
2014-04-14,0.0241,0.0261,0.024,0.025,7.60573235
2014-04-15,0.0252,0.0259,0.0245,0.0247,5.31434327
2014-04-16,0.0253652,0.0262,0.02503941,0.02521,4.12152911
2014-04-17,0.0251,0.02595,0.025,0.02535779,7.94050312
2014-04-18,0.02529999,0.0259,0.02503,0.02553,9.32285426
2014-04-19,0.025755,0.0258,0.0245,0.02529999,7.57091628
2014-04-20,0.02579998,0.0275,0.0252,0.02550001,11.43692523
2014-04-21,0.02460124,0.0258,0.0241,0.02579999,11.29840669
2014-04-22,0.0249,0.02545,0.0241,0.02525,11.02097966
2014-04-23,0.0246199,0.02527999,0.02452437,0.02527999,8.69064757
2014-04-24,0.02500005,0.0272,0.023,0.0247,15.90536177
2014-04-25,0.024149,0.02599889,0.02300001,0.02599889,15.19015385
2014-04-26,0.02369,0.025,0.023,0.0238,24.98551625
2014-04-27,0.02290538,0.02389,0.02201,0.02368,12.66817573
2014-04-28,0.023599900000000004,0.02388,0.02281035,0.02379,13.05177081
2014-04-29,0.02325601,0.02400002,0.02286719,0.02359997,12.94329993
2014-04-30,0.0245,0.025,0.02325601,0.0238995,7.40115332
2014-05-01,0.02430454,0.02499999,0.02430454,0.02469,5.80982864
2014-05-02,0.0247996,0.0247996,0.0239715,0.02445632,2.77457611
2014-05-03,0.023011,0.02479957,0.023011,0.02407001,8.96753872
2014-05-04,0.02428989,0.02589999,0.02301101,0.02301101,9.02643654
2014-05-05,0.023887900000000004,0.02428989,0.0232001,0.024289,4.78838587
2014-05-06,0.024,0.0246753,0.023605,0.02388789,8.62039996
2014-05-07,0.02400007,0.02468,0.023851,0.024,4.60899275
2014-05-08,0.0242,0.024630000000000003,0.023971,0.02400008,4.31486233
2014-05-09,0.02407555,0.0244,0.02404,0.02426,4.79387152
2014-05-10,0.02380002,0.0244,0.0235,0.02407557,6.94388439
2014-05-11,0.02260004,0.024384,0.02165,0.02429,20.89009753
2014-05-12,0.024630000000000003,0.0275,0.02261,0.0235,16.02715272
2014-05-13,0.02387989,0.0246,0.0235,0.0246,7.14745199
2014-05-14,0.02399999,0.024,0.02354873,0.02387987,7.26803386
2014-05-15,0.02358878,0.024,0.02302,0.02361999,7.71660082
2014-05-16,0.02340994,0.023619900000000003,0.022621,0.0233,8.27911541
2014-05-17,0.02332231,0.02400313,0.02285,0.02340994,4.75879915
2014-05-18,0.02347045,0.02379,0.0217,0.02332231,4.83960901
2014-05-19,0.02300125,0.02342057,0.02300123,0.02339,5.9058819000000025
2014-05-20,0.02221,0.02340148,0.02219215,0.0231,13.00516157
2014-05-21,0.02133,0.02335,0.02122132,0.02210111,12.0326022
2014-05-22,0.02049994,0.02192548,0.01902001,0.02192547,7.50501943
2014-05-23,0.02144085,0.0222222,0.01902001,0.01902001,10.40991959
2014-05-24,0.02117,0.02190956,0.02,0.02153764,9.05927003
2014-05-25,0.02038697,0.02173824,0.01911,0.02112,14.45561596
2014-05-26,0.02,0.02166916,0.01952146,0.0199001,5.93529606
2014-05-27,0.01957,0.02012837,0.01924001,0.02,5.89125878
2014-05-28,0.0194,0.01987,0.019,0.01917404,8.61810341
2014-05-29,0.01905444,0.0195,0.01858833,0.01908016,6.97472967
2014-05-30,0.0184611,0.01949999,0.01807402,0.0191999,5.55804462
2014-05-31,0.01738772,0.01875015,0.0173,0.01875015,5.27611202
2014-06-01,0.01755,0.01771844,0.017,0.01761,12.81673215
2014-06-02,0.01747156,0.01839033,0.01716205,0.01756643,2.93536303
2014-06-03,0.01714958,0.01789601,0.01703197,0.0174695,6.14058122
2014-06-04,0.01749989,0.01788501,0.01714958,0.01714959,6.12045967
2014-06-05,0.01697635,0.01771303,0.01687074,0.01749989,7.99816532
2014-06-06,0.01731174,0.0174,0.01685995,0.01709343,6.31153102
2014-06-07,0.01700931,0.01732609,0.01700931,0.01731204,3.0216341
2014-06-08,0.01722211,0.01744647,0.01685995,0.01700942,6.47421216
2014-06-09,0.01754222,0.01756766,0.01716324,0.01721174,5.7528825
2014-06-10,0.01704,0.01741,0.01701741,0.01729912,7.2695288
2014-06-11,0.01728,0.01728,0.0167965,0.01707,5.30654747
2014-06-12,0.01727009,0.01761243,0.01683093,0.01728,2.89890667
2014-06-13,0.016890000000000002,0.017499900000000002,0.016890000000000002,0.017499900000000002,4.09350903
2014-06-14,0.01703,0.0173,0.01687742,0.016890000000000002,5.66765891
2014-06-15,0.01684118,0.01719801,0.01684118,0.01705,2.90957469
2014-06-16,0.01616935,0.0170784,0.01600001,0.01684118,10.88629081
2014-06-17,0.01583001,0.01646366,0.0154,0.01635442,7.23770487
2014-06-18,0.01596562,0.01610446,0.015650999999999998,0.01583001,3.39789116
2014-06-19,0.01689989,0.0170253,0.015650999999999998,0.01596585,4.73396912
2014-06-20,0.01637249,0.017,0.01619236,0.01692677,9.35709232
2014-06-21,0.0164812,0.01674925,0.01605809,0.01671086,29.25217028
2014-06-22,0.01616885,0.0167555,0.01595,0.01651714,16.30276276
2014-06-23,0.016297,0.01674925,0.01607891,0.016186000000000002,3.57336729
2014-06-24,0.01626901,0.01666833,0.01605806,0.016307,11.3365692
2014-06-25,0.0163,0.01660704,0.01608903,0.01648222,4.81735392
2014-06-26,0.01567329,0.01639838,0.01500002,0.0163,6.9374115000000005
2014-06-27,0.01537567,0.015882900000000002,0.015281,0.01567329,6.93237471
2014-06-28,0.015338,0.015591999999999996,0.015,0.015372,5.22521762
2014-06-29,0.014967,0.01543296,0.014853,0.01543296,4.87072799
2014-06-30,0.01373961,0.014999,0.0125,0.014875,9.63047425
2014-07-01,0.01244626,0.01400068,0.01190396,0.013743,6.64434497
2014-07-02,0.01252701,0.01315525,0.0119,0.01244626,15.99896674
2014-07-03,0.012568,0.01280096,0.01228117,0.0126205,6.89601328
2014-07-04,0.01179271,0.0125258,0.01156381,0.0125,4.14425238
2014-07-05,0.01162015,0.01191,0.01089787,0.011775,8.31060652
2014-07-06,0.01116466,0.011695,0.01076551,0.01162015,4.90340141
2014-07-07,0.0123129,0.01249056,0.0110001,0.0112939,5.59680387
2014-07-08,0.012431,0.0126538,0.01212486,0.012309,4.16704796
2014-07-09,0.01246295,0.01295,0.0123,0.012431,5.0540304
2014-07-10,0.012607,0.01283423,0.01218039,0.012475,4.07315897
2014-07-11,0.01246799,0.013,0.012384,0.012605,5.46728265
2014-07-12,0.0135821,0.0141,0.0123002,0.012459,6.78722807
2014-07-13,0.01434,0.01470963,0.0136171,0.0136171,4.13755214
2014-07-14,0.013955200000000004,0.014433,0.0137351,0.014432,6.68815704
2014-07-15,0.01386588,0.0142179,0.01369,0.013968,4.15772866
2014-07-16,0.01369949,0.01413974,0.01345614,0.013869,3.29650457
2014-07-17,0.01396997,0.01416765,0.01342,0.0136859,7.62056329
2014-07-18,0.0141799,0.01436512,0.01382999,0.013985,1.82915722
2014-07-19,0.0140869,0.01415,0.0139158,0.013947,1.77150785
2014-07-20,0.013654,0.014092,0.013619999999999998,0.01399,2.01164959
2014-07-21,0.0137951,0.01398982,0.01348784,0.0138481,8.64007392
2014-07-22,0.01389998,0.01399,0.0137,0.0137951,2.65656879
2014-07-23,0.013569,0.014,0.01354593,0.01389999,1.16929075
2014-07-24,0.013081,0.01377005,0.01291438,0.013563,3.41873222
2014-07-25,0.0125651,0.013165,0.0125091,0.012852,2.63826936
2014-07-26,0.01272,0.012965,0.012590100000000002,0.01266,2.1416397000000003
2014-07-27,0.01293228,0.013099799999999998,0.01274,0.012741,4.96089313
2014-07-28,0.012971000000000002,0.01313,0.01276,0.01306998,4.29314598
2014-07-29,0.01300528,0.013073,0.012874000000000002,0.012874000000000002,2.93041112
2014-07-30,0.0127842,0.01316,0.0127,0.013073,2.00300468
2014-07-31,0.01292799,0.01296,0.0125,0.01279,1.94169316
2014-08-01,0.01291136,0.01297999,0.01271549,0.012901,1.92777403
2014-08-02,0.01283324,0.01301894,0.01283324,0.01291003,1.07290528
2014-08-03,0.01276002,0.013039,0.0127453,0.012925999999999998,1.02250098
2014-08-04,0.0125,0.01287998,0.01248557,0.01287998,2.84098794
2014-08-05,0.01227501,0.01264,0.01227501,0.01264,0.98443388
2014-08-06,0.01235902,0.01247,0.01220724,0.01234305,0.5020806
2014-08-07,0.01224,0.01228,0.01176,0.0122199,1.51767818
2014-08-08,0.011955,0.01224,0.0117137,0.0121482,2.44493168
2014-08-09,0.01176,0.01191462,0.01171371,0.01191462,0.55830959
2014-08-10,0.011702,0.0118799,0.011698,0.01180996,0.698739
2014-08-11,0.01051488,0.01176082,0.01036002,0.011696,6.7020073
2014-08-12,0.01005928,0.01044616,0.0097,0.01044616,7.44106625
2014-08-13,0.00928225,0.009989,0.0088141,0.009989,8.13128589
2014-08-14,0.010005,0.010227,0.00904,0.009256,5.23420183
2014-08-15,0.0101,0.01039848,0.00972769,0.009944,7.06517772
2014-08-16,0.00956955,0.010304,0.00953871,0.010272,3.63783936
2014-08-17,0.008856000000000001,0.00981001,0.008856000000000001,0.00956999,7.57437147
2014-08-18,0.00820512,0.00948,0.00798855,0.00892,10.21078781
2014-08-19,0.009615,0.0100217,0.008222499999999999,0.0082459,7.21358316
2014-08-20,0.010716,0.0112,0.00944,0.009683,8.08576473
2014-08-21,0.01123056,0.01183281,0.01074116,0.01074116,9.80187916
2014-08-22,0.010257,0.01123056,0.01006,0.01123056,5.61292993
2014-08-23,0.00968631,0.0102889,0.00911,0.0102889,9.92572399
2014-08-24,0.01065758,0.01103298,0.00985,0.00985,4.68347892
2014-08-25,0.01032031,0.0107585,0.01026241,0.01071966,4.50002511
2014-08-26,0.01076001,0.01106624,0.01024171,0.01032,5.72323511
2014-08-27,0.01055041,0.01126486,0.01040001,0.01073002,3.37483081
2014-08-28,0.01022306,0.01072,0.01003246,0.0106589,7.50156587
2014-08-29,0.0106097,0.01065,0.01029369,0.01050979,3.29588555
2014-08-30,0.01033,0.01076427,0.01029355,0.010645,2.63985879
2014-08-31,0.01007918,0.01036,0.01001011,0.01034,6.02596374
2014-09-01,0.01004185,0.01031923,0.01004185,0.010175,1.73511271
2014-09-02,0.01011111,0.01011111,0.009738600000000002,0.01,6.90240305
2014-09-03,0.01018735,0.01030425,0.00987682,0.00990343,0.71045568
2014-09-04,0.01066142,0.01080361,0.01015699,0.01015699,3.02113541
2014-09-05,0.0104,0.01065,0.01023339,0.01052201,2.23222196
2014-09-06,0.01029267,0.01068,0.0102,0.01034528,2.24153108
2014-09-07,0.010695,0.01074,0.01019129,0.01029267,7.79718087
2014-09-08,0.01054402,0.01073999,0.01037272,0.01043392,3.12585089
2014-09-09,0.01066857,0.01083782,0.01043391,0.01054402,1.77634757
2014-09-10,0.01103119,0.01120875,0.01066858,0.01066858,4.19658693
2014-09-11,0.01151477,0.01151477,0.01111108,0.01111108,1.37793313
2014-09-12,0.0113,0.01146857,0.01116709,0.0114102,1.12590685
2014-09-13,0.01140741,0.01141,0.0111686,0.01133,4.52899297
2014-09-14,0.0112703,0.01146,0.01123429,0.01130092,2.49314828
2014-09-15,0.01090455,0.01145,0.0108419,0.01139713,4.71645343
2014-09-16,0.01083,0.01099346,0.01078,0.01097227,3.58869884
2014-09-17,0.01112881,0.01115,0.01081501,0.01088,3.54244391
2014-09-18,0.0111899,0.01145999,0.0109,0.01102128,1.25770997
2014-09-19,0.01101001,0.012,0.01101,0.0111599,3.93534859
2014-09-20,0.01045011,0.01116063,0.01036423,0.01101999,7.20288765
2014-09-21,0.01068968,0.01076364,0.01045001,0.01051693,3.13637862
2014-09-22,0.0107761,0.01092821,0.01050401,0.0106014,2.15815842
2014-09-23,0.01119997,0.01119998,0.01051023,0.01051023,8.60723194
2014-09-24,0.01215,0.01215,0.01067076,0.01100024,6.05190222
2014-09-25,0.0109,0.01125328,0.01084788,0.01108834,4.6290612
2014-09-26,0.011,0.01126403,0.01084538,0.01106812,1.15534397
2014-09-27,0.01111202,0.01126325,0.01048049,0.01099999,7.71021202
2014-09-28,0.01115683,0.01121508,0.01070252,0.01070898,1.67113139
2014-09-29,0.01134,0.01140335,0.01100329,0.01120138,2.38895491
2014-09-30,0.01234574,0.014,0.01130728,0.01134299,5.46212869
2014-10-01,0.01171515,0.01226215,0.01151144,0.01160009,0.92697265
2014-10-02,0.01156455,0.01177466,0.01146101,0.01160281,1.5728487
2014-10-03,0.0118159,0.01199998,0.0114613,0.01156041,1.5846344
2014-10-04,0.01191246,0.01199966,0.01114556,0.0116,3.25882224
2014-10-05,0.01171603,0.01194653,0.0111805,0.01162536,3.83297864
2014-10-06,0.01133974,0.01188999,0.0113001,0.01152001,4.04830553
2014-10-07,0.01148,0.01170774,0.01130789,0.01135452,2.02584783
2014-10-08,0.01118641,0.01159,0.01115887,0.01158968,2.26282507
2014-10-09,0.01076007,0.01123166,0.01052,0.01117095,5.6106233
2014-10-10,0.01049994,0.01094228,0.01031199,0.01093449,4.14262403
2014-10-11,0.0104599,0.01059825,0.0103002,0.01049994,2.49752292
2014-10-12,0.01028509,0.0105915,0.01028509,0.0104599,3.00579742
2014-10-13,0.00996947,0.01040302,0.0099,0.0102187,1.32664102
2014-10-14,0.01022,0.01054203,0.00961835,0.01003443,3.91142437
2014-10-15,0.01016874,0.01046209,0.01006134,0.01009111,1.67362938
2014-10-16,0.01035177,0.01058487,0.01014941,0.01032386,0.64159493
2014-10-17,0.010142,0.01058274,0.0100249,0.01058175,4.38586815
2014-10-18,0.01024002,0.01059999,0.010142,0.01020004,4.14428744
2014-10-19,0.0102171,0.01052299,0.01014354,0.01024077,1.09210518
2014-10-20,0.01014,0.0103795,0.01,0.0102242,2.42881629
2014-10-21,0.01020128,0.01026903,0.01001632,0.01026902,0.48080656
2014-10-22,0.01000255,0.01026903,0.01000255,0.01026894,0.65503571
2014-10-23,0.01030002,0.01039341,0.0100023,0.0100023,1.76445999
2014-10-24,0.01030813,0.01060134,0.01021515,0.0103934,2.0211804
