,Close,High,Low,Open,Volume
,,,,,
2014-08-14,7.03e-06,2e-05,6.1e-06,1.13e-05,0.11916396
2014-08-15,1.12e-05,1.8e-05,1.12e-05,1.49e-05,0.31101487
2014-08-16,1.1e-05,1.6899999999999994e-05,1.1e-05,1.1e-05,0.03746567
2014-08-17,1.6899999999999994e-05,1.6899999999999994e-05,1.1e-05,1.1e-05,0.06086529
2014-08-18,1e-05,1.2e-05,1e-05,1.2e-05,0.22182501
2014-08-19,1e-05,1e-05,1e-05,1e-05,0.02563
2014-08-20,1e-05,1e-05,1e-05,1e-05,0.01157
2014-08-21,1.19e-05,1.19e-05,9.03e-06,1.1e-05,0.03094871
2014-08-22,1.19e-05,1.19e-05,1.19e-05,1.19e-05,0.01642477
2014-08-23,1.17e-05,1.55e-05,1.17e-05,1.55e-05,0.00361675
2014-08-24,1.13e-05,1.13e-05,1.13e-05,1.13e-05,0.0025534000000000004
2014-08-25,9.55e-06,1.4499999999999993e-05,9.21e-06,1.4499999999999993e-05,0.65859349
2014-08-26,1.13e-05,1.15e-05,1e-05,1.05e-05,0.06969398
2014-08-27,8.8e-06,1.06e-05,8.8e-06,9.33e-06,0.13224139
2014-08-28,8.81e-06,1.06e-05,8.81e-06,1.06e-05,0.58194018
2014-08-29,1e-05,1.05e-05,8.96e-06,1.05e-05,1.61990208
2014-08-30,1.06e-05,1.06e-05,9.53e-06,9.55e-06,0.39679189
2014-08-31,9.9e-06,9.9e-06,8.5e-06,9.62e-06,1.15796536
2014-09-01,9.3e-06,1.03e-05,9.3e-06,9.9e-06,0.55206454
2014-09-02,9.34e-06,1.03e-05,9.3e-06,9.3e-06,0.02317586
2014-09-03,9.35e-06,1.04e-05,9.35e-06,9.5e-06,0.07676694
2014-09-04,9.99e-06,1.04e-05,9e-06,9.41e-06,0.44291218
2014-09-05,1.04e-05,1.04e-05,9.03e-06,9.09e-06,0.18366268
2014-09-06,1.04e-05,1.04e-05,9.41e-06,1.04e-05,0.09200465
2014-09-07,1.04e-05,1.04e-05,1e-05,1e-05,0.0222876
2014-09-08,1e-05,1.04e-05,9.800000000000001e-06,1.04e-05,0.58175163
2014-09-09,9.87e-06,1.04e-05,9.87e-06,1.04e-05,0.35477784
2014-09-10,1.05e-05,1.2e-05,9.92e-06,9.97e-06,0.21693001
2014-09-11,9.85e-06,9.98e-06,9.85e-06,9.93e-06,0.4314722
2014-09-12,9.02e-06,1.02e-05,9.02e-06,1.02e-05,0.04974103
2014-09-13,9.09e-06,1.02e-05,9.04e-06,1.01e-05,0.06227244
2014-09-14,1.03e-05,1.25e-05,1.02e-05,1.02e-05,0.28153179
2014-09-15,1.03e-05,1.33e-05,1.03e-05,1.05e-05,3.35209368
2014-09-16,1.05e-05,1.1e-05,1.05e-05,1.1e-05,0.1789022
2014-09-17,1.2e-05,1.4e-05,1.19e-05,1.19e-05,0.49934617
2014-09-18,1.3e-05,1.3800000000000007e-05,1.2e-05,1.33e-05,0.26664215
2014-09-19,1.13e-05,1.3e-05,1.13e-05,1.15e-05,0.15616369
2014-09-20,1.28e-05,1.3e-05,1.42e-06,1.3e-05,0.59954459
2014-09-21,1.23e-05,1.25e-05,1.05e-05,1.05e-05,0.34262062
2014-09-22,1.22e-05,1.23e-05,1.09e-05,1.23e-05,0.10111425
2014-09-23,1.06e-05,1.22e-05,1.06e-05,1.1e-05,0.2772234000000001
2014-09-24,1.18e-05,1.32e-05,1.06e-05,1.06e-05,3.35022882
2014-09-25,1.21e-05,1.4499999999999993e-05,1.1e-05,1.18e-05,2.43939309
